Pre Show,,,,,,,,,,,,,,,,
1.1 S1: Goodmorning Morningside,1.00,1.00,4.00,,,1.00,,4.00,4.00,1.00,1.00,,,,1.00,
1.1 pS1: Outside the Baron's house,,,,1.00,1.00,,,,,,,,,,2.00,
1.1 S2: The Best,,,,1.00,1.00,,,,,,,,,,,
1.1 pS2: Outside the Baron's house,2.00,2.00,2.00,1.00,1.00,2.00,2.00,,,2.00,2.00,2.00,,,2.00,
1.1 S3: Walking on Sunshine,4.00,4.00,4.00,4.00,4.00,1.00,,4.00,4.00,1.00,1.00,,1.00,1.00,1.00,
1.1 pS3: Outside the Baron's hosue,,,1.00,,,,,,,,,1.00,,,,
1.2: A street,1.00,,,,,2.00,2.00,2.00,,2.00,2.00,,,,,
1.3 S4: Reach,4.00,4.00,4.00,4.00,4.00,1.00,,4.00,4.00,1.00,1.00,,1.00,1.00,1.00,
1.3 pS4: A glade in the Royal Forest,2.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,,,,,
1.3 S5: Some Where Only We Know,1.00,,,,,,,,1.00,,,,,,,
1.3 pS5: A glade in the Royal Forest,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,,,,,,,
1.4: The street,,1.00,1.00,,,1.00,2.00,2.00,1.00,2.00,2.00,,,,,
1.5 S6b: Dear Future Husband,,,,1.00,1.00,,,,,,,,,,,1.00
1.5 pS6b: The Stepsisters' dressing-room,,,,1.00,1.00,2.00,,,1.00,,,,,,,3.00
1.5 S6c: Perfect this way,,,2.00,1.00,1.00,,,,,,,,,,,
1.5 S6c.1: Perfect this way,,4.00,,1.00,1.00,4.00,,,,4.00,4.00,,4.00,4.00,,
1.6: The Baron's kitchen,,,,,3.00,1.00,,,2.00,,,,,,,
1.6 S7: Love is an open door,,,,,,1.00,,,1.00,,,,,,,
1.6 pS7: The Baron's kitchen,,,1.00,,,1.00,,,1.00,,,2.00,,,,
1.6 S8: Firework,1.00,4.00,4.00,4.00,1.00,,,1.00,,1.00,4.00,1.00,1.00,4.00,,
Intermission,,,,,,,,,,,,,,,,
2.1 S9: National Dance,,,,,,,,,,,,,,,,
2.1 pS9: The palace ballroom,,,,,,,2.00,2.00,,,,,,,1.00,
2.1 S10: Always look on the bright side of life,4.00,4.00,4.00,4.00,4.00,4.00,,1.00,4.00,1.00,1.00,4.00,4.00,4.00,,
2.1 pS10: The palace ballroom,,,2.00,2.00,2.00,,2.00,2.00,,,,,,,1.00,
2.1 S11: Dance with me tonight,4.00,4.00,4.00,1.00,1.00,4.00,,4.00,4.00,4.00,4.00,4.00,4.00,4.00,,
2.1 pS11: The palace ballroom,,,,1.00,1.00,2.00,,2.00,,,,,,,1.00,
2.1 S12a: I wanna dance with somebody,4.00,4.00,4.00,4.00,4.00,1.00,,4.00,4.00,4.00,4.00,4.00,4.00,4.00,,
2.1 pS12a: The palace ballroom,,1.00,1.00,,,1.00,,1.00,1.00,,,,,,,
2.1 S12b: Cont - I wanna dance with somebody,4.00,4.00,4.00,4.00,4.00,1.00,,4.00,4.00,4.00,4.00,4.00,4.00,4.00,,
2.2 S13a: Close every door to me,1.00,,,,,,,,,,,,,,,1.00
2.2 p13a: A dungeon cell,1.00,,,,,,,,,,,,2.00,2.00,,
2.3 S13b: Cont - I wanna Dance with somebody,4.00,4.00,4.00,4.00,4.00,1.00,,4.00,1.00,4.00,4.00,4.00,,,,
2.3 pS13b: In the ballroom,2.00,2.00,2.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,2.00,,2.00,,2.00,
2.3 S14a: One way or another,,,,1.00,1.00,,,,,,,,,,,
2.3 S14a.1: One way or another,,4.00,4.00,1.00,1.00,4.00,,4.00,4.00,4.00,4.00,4.00,,4.00,,
2.3 pS14a: In the ballroom,2.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,,,,2.00,,,
2.3 S14b: A dream is a wish your heart makes,4.00,1.00,1.00,1.00,1.00,1.00,,1.00,,1.00,1.00,1.00,4.00,,,
2.3 pS14b: In the ballroom,,2.00,2.00,,,1.00,1.00,1.00,,,,,,,2.00,
2.4: The street,1.00,2.00,2.00,,,2.00,2.00,2.00,1.00,2.00,2.00,,1.00,,,
2.4 S15: 10 Minutes ago,,,,,,1.00,,,,,,,,,,
2.4 pS15b: The street,1.00,,,2.00,2.00,1.00,,,1.00,,,,,2.00,,
2.5: Hall of the Baron's house,1.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,,2.00,2.00,,
2.5 S16: Sun down,1.00,4.00,4.00,1.00,1.00,1.00,,4.00,1.00,4.00,4.00,4.00,4.00,4.00,,
2.6: The bit before the last bit,1.00,,,,,,2.00,,,2.00,2.00,,,,,
2.6 S17a: Cast Demenstrate - The Best,,,,,,,,,,,,,,,,1.00
2.6 S17b: Competition (audience) - The Best,,,,,,,,,,,,,,,,
2.6 S17c: Last time (Buttons only) - The Best,1.00,,,,,,,,,,,,,,,
"2.7 S18: Firework - Reprise, Walkdown + Bows",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,
2.7 pS18: The Grand Finale,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,
"2.7 S19 Reach - Reprise, Finale",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,
